Hazard Real_Madrid Belgium LaLiga 89
Fati Barcelona Spain LaLiga 86
Mane Liverpool Senegal EPL 92
Sterling Manchester_City England EPL 96
Insigne Napoli Italy SeriaA  94
Gosens Atalanta Germany SeriaA 93
Sane Bayern_Munchen Germany BundesLiga 96
Hazard BVB Belgium BundesLiga 84
Neymar PSG Brazil Ligue1 99
Payet Marseille France Ligue1 83
Dembele Barcelona France LaLiga 85
Rodrygo Real_Madrid Brazil LaLiga 83
Salah Liverpool Egypt EPL 93
Silva Manchester_City Portugal EPL 87
Berardi Sassuolo Italy SeriaA 90
Malinovskyi Atalanta Ukraine SeriaA 86
Bailey Leverkusen Jamaika BundesLiga 90
Gnabry Bayern_Munchen Germany BundesLiga 90
Messi PSG Argentina Ligue1 99
Volland Monaco Germany Ligue1 87
Benzema Real_Madrid France LaLiga 89
Suarez Atletico_Madrid Uruguay LaLiga 87
Kane Tottenham England EPL 90
Yarmolenko West_Ham Ukraine EPL 84
Muriel Atalanta Colombia SeriaA 85
Immobile Lazio Italy SeriaA 87
Lewandowski Bayern_Munchen Poland BundesLiga 98
Haaand BVB Norway BundesLiga 93
Mbappe PSG France Ligue1 94
Ben_Yedder Monaco France Ligue1 89
Modric Real_Madrid Croatia LaLiga 90
Gomez Sevilla Argentina LaLiga 86
Fernandes Manchester_United Portugal EPL 91
De_Bruyne Manchester_City Belgium EPL 94
Locatelli Sassuolo Italy SeriaA 90
Zielinski Napoli Poland SeriaA 87
Muller Bayern_Munchen Germany BundesLiga 88
Bellingham BVB England BundesLiga 84
Verratti PSG Italy Ligue1 87
Paqueta Lyon Brazil Ligue1 83
Kroos Real_Madrid Germany LaLiga 88
Pedri Barcelona Spain LaLiga 88
Foden Manchester_City England EPL 88
Mount Chelsea England EPL 87
Chiesa Juventus Italy SeriaA 86
Barella Inter Italy SeriaA 87
Reyna BVB USA BundesLiga 84
Reus BVB Germany BundesLiga 88
Rafinha PSG Brazil Ligue1 82
Sanches Lille Portugal Ligue1 80
Busquets Barcelona Spain LaLiga 87
Casemiro Real_Madrid Brazil LaLiga 88
Rodri Manchester_City Spain EPL 87
Pogba Manchester_United France EPL 87
Tonali Milan Italy SeriaA 85
Leiva Lazio Brazil SeriaA 84
Kimmich Bayern_Munchen Germany BundesLiga 90
Witsel BVB Belgium BundesLiga 85
Gueye PSG Senegal Ligue1 87
Andre Lille France Ligue1 84
Alba Barcelona Spain LaLiga 87
Mendy Real_Madrid France LaLiga 87
Digne Everton France EPL 87
Zinchenko Manchester_City Ukraine EPL 85
Spinazzola Rome Italy SeriaA 93
Hernandez Milan France SeriaA 87
Davies Bayern_Munchen Canada BundesLiga 89
Angelino RB Spain BundesLiga 86
Kurzawa PSG France Ligue1 84
Amavi Marseille France Ligue1 84
Dest Barcelona USA LaLiga 87
Carvajal Real_Madrid Spain LaLiga 90
Cancelo Manchester_City Portugal EPL 93
Wan-Bissaka Manchester_United England EPL 89
Cuadrado Juventus Colombia SeriaA 86
Dalot Milan Portugal SeriaA 84
Laimer RB Austria BundesLiga 84
Meunier BVB Belgium BundesLiga 84
Aguilar Monaco France Ligue1 84
Hakimi PSG Morocco Ligue1 96
Kounde Sevilla France LaLiga 92
Pique Barcelona Spain LaLiga 89
Dias Manchester_City Portugal EPL 94
Van_Dijk Liverpool Netherlands EPL 94
Koulibalu Napoli Senegal SeriaA 92
Chiellini Juventus Italy SeriaA 88
Hummels BVB Germany BundesLiga 87
Sule Bayern_Munchen Germany BundesLiga 85
Kimpembe PSG France Ligue1 85
Ramos PSG Spain Ligue1 89
Lenglet Barcelona France LaLiga 85
Alaba Real_Madrid Austria LaLiga 87
Gomes Liverpool England EPL 84
Laporte Manchester_City France EPL 87
De_Light Juventus Netherlands SeriaA 93
Bonucci Juventus Italy SeriaA 89
Ginter M`gladbach Germany BundesLiga 85
Boateng Bayern_Munchen Germany BundesLiga 85
Marquinhos PSG Brazil Ligue1 92
Kehrer PSG Germany Ligue1 84
Courtois Real_Madrid Belgium LaLiga 89
Ter_Stegen Barcelona Germany LaLiga 90
Ederson Manchester_City Brazil EPL 90
Alisson Liverpool Brazil EPL 90
Szczesny Juventus Poland SeriaA 86
Consigli Sassuolo Italy SeriaA 84
Neuer Bayern_Munchen Germany BundesLiga 88
Gulacsi RB Hungary BundesLiga 85
Donnoruma PSG Italy Ligue1 89
Mandanda Marseille France Ligue1 86
